,stat,mean,SD,var,SE,bias,RMSE
0,iw,0.003446368796390627,0.0006847709365173099,4.689112354987937e-07,9.684123455417054e-05,2.2965648759617433e-05,0.0006851559359165939
1,dm,0.003420911006551015,0.0007040609780312304,4.957018607862927e-07,9.956925838694317e-05,4.842343859922955e-05,0.0007057242309798255
2,dm_iw,0.003420911006551015,0.0007040609780312304,4.957018607862927e-07,9.956925838694317e-05,4.842343859922955e-05,0.0007057242309798255
3,dm_log,0.003399506483305196,0.0006868028006510646,4.7169808698214594e-07,9.712858353565606e-05,6.982796184504866e-05,0.0006903434154372587
4,dm_log_iw,0.003399506483305196,0.0006868028006510646,4.7169808698214594e-07,9.712858353565606e-05,6.982796184504866e-05,0.0006903434154372587
5,dr,0.003420911006551015,0.0007040609780312303,4.957018607862926e-07,9.956925838694316e-05,4.842343859922955e-05,0.0007057242309798255
6,dr_log,0.003399488010644473,0.000686798853411091,4.7169266504678924e-07,9.712802531162561e-05,6.984643450577135e-05,0.0006903413571994353
