,stat,mean,SD,var,SE,bias,RMSE
0,iw,0.0034449036614471163,0.00025242940517497645,6.372060459699243e-08,3.569890883402248e-05,2.44307837031282e-05,0.0002536088874415514
1,dm,0.003441378939464198,0.00025191202704614334,6.345966937049686e-08,3.562574051735538e-05,2.7955505686046503e-05,0.00025345843775392336
2,dm_iw,0.003441378939464198,0.00025191202704614334,6.345966937049686e-08,3.562574051735538e-05,2.7955505686046503e-05,0.00025345843775392336
3,dm_log,0.00343593107038051,0.0002536912874133967,6.435926930946665e-08,3.5877365931591644e-05,3.3403374769734335e-05,0.00025588093863254836
4,dm_log_iw,0.00343593107038051,0.0002536912874133967,6.435926930946665e-08,3.5877365931591644e-05,3.3403374769734335e-05,0.00025588093863254836
5,dr,0.003441378939464198,0.0002519120270461434,6.345966937049689e-08,3.5625740517355394e-05,2.7955505686046503e-05,0.00025345843775392336
6,dr_log,0.0034359293954129276,0.00025369083333943597,6.435903892045748e-08,3.587730171583629e-05,3.3405049737316936e-05,0.00025588070710471717
