,stat,mean,SD,var,SE,bias,RMSE
0,iw,0.0034577603143418466,0.0005141590647328871,2.6435954384699716e-07,7.27130722562315e-05,1.157413080839784e-05,0.0005142893196936594
1,dm,0.003472169912623647,0.0005152784281273553,2.6551185849339803e-07,7.28713741455996e-05,2.835467473402513e-06,0.0005152862295551773
2,dm_iw,0.003472169912623647,0.0005152784281273553,2.6551185849339803e-07,7.28713741455996e-05,2.835467473402513e-06,0.0005152862295551773
3,dm_log,0.0034322867826119823,0.0005069630104748808,2.5701149398975404e-07,7.169539650350699e-05,3.704766253826222e-05,0.0005083148859607626
4,dm_log_iw,0.0034322867826119823,0.0005069630104748808,2.5701149398975404e-07,7.169539650350699e-05,3.704766253826222e-05,0.0005083148859607626
5,dr,0.003472169912623647,0.0005152784281273555,2.6551185849339824e-07,7.287137414559962e-05,2.835467473402513e-06,0.0005152862295551774
6,dr_log,0.0034322689454987614,0.0005069607499940047,2.5700920203448373e-07,7.169507682323574e-05,3.7065499651483137e-05,0.000508313931836319
