,stat,mean,SD,var,SE,bias,RMSE
0,iw,0.00353711790393013,0.0014987068082190503,2.2461220970021332e-06,0.0002119491494204274,6.778345877988569e-05,0.001500238879074362
1,dm,0.0034763208197306867,0.0017050870565159095,2.9073218702980883e-06,0.00024113572403516192,6.986374580442243e-06,0.0017051013693407987
2,dm_iw,0.0034763208197306867,0.0017050870565159095,2.9073218702980883e-06,0.00024113572403516192,6.986374580442243e-06,0.0017051013693407987
3,dm_log,0.0033488614897777343,0.0014102986935985887,1.988942405165886e-06,0.0001994463539484182,0.00012047295537251021,0.0014154349642926277
4,dm_log_iw,0.0033488614897777343,0.0014102986935985887,1.988942405165886e-06,0.0001994463539484182,0.00012047295537251021,0.0014154349642926277
5,dr,0.0034763208197306867,0.0017050870565159095,2.9073218702980883e-06,0.00024113572403516192,6.986374580442243e-06,0.0017051013693407987
6,dr_log,0.0033488692656939794,0.001410302258554647,1.988952460484339e-06,0.00019944685810933892,0.00012046517945626511,0.0014154378544979532
