,stat,mean,SD,var,SE,bias,RMSE
0,iw,0.003463515934356186,5.9317462449436866e-05,3.5185613514403526e-09,8.38875598815504e-06,5.818510794058408e-06,5.9602151129811786e-05
1,dm,0.003459014864697268,5.911325410693285e-05,3.4943768111108135e-09,8.35987656740315e-06,1.0319580452976436e-05,6.0007254160111966e-05
2,dm_iw,0.003459014864697268,5.911325410693285e-05,3.4943768111108135e-09,8.35987656740315e-06,1.0319580452976436e-05,6.0007254160111966e-05
3,dm_log,0.0034576461613710884,5.846224491895202e-05,3.417834080963531e-09,8.26780996511595e-06,1.168828377915614e-05,5.961920880610223e-05
4,dm_log_iw,0.0034576461613710884,5.846224491895202e-05,3.417834080963531e-09,8.26780996511595e-06,1.168828377915614e-05,5.961920880610223e-05
5,dr,0.003459014864697268,5.9113254106932566e-05,3.49437681111078e-09,8.35987656740311e-06,1.0319580452976436e-05,6.0007254160111715e-05
6,dr_log,0.0034576475894585396,5.846282881700849e-05,3.4179023532868384e-09,8.267892540771001e-06,1.1686855691704894e-05,5.961950141728444e-05
