,stat,mean,SD,var,SE,bias,RMSE
0,iw,0.005254133701868711,0.0003859124865195886,1.4892844725173166e-07,5.4576267232512635e-05,0.00012993649644381725,0.0004072001232315946
1,dm,0.005224176085889618,0.00022395882729628292,5.015755632392628e-08,3.16725610975577e-05,9.997888046472427e-05,0.000245261763964353
2,dm_iw,0.005335481826115194,0.00038726160056116196,1.4997154726919296e-07,5.4767060769990744e-05,0.00021128462069030032,0.0004411493377637973
3,dm_log,0.0052275992180591336,0.0002216300073317827,4.9119860149886054e-08,3.134321621974556e-05,0.00010340201263423984,0.00024456458526674995
4,dm_log_iw,0.005318972418380396,0.00037632178432523637,1.416180853577297e-07,5.321993712091921e-05,0.00019477521295550252,0.00042373985998439063
5,dr,0.004855041427173205,0.000494979691141399,2.4500489464243473e-07,7.000069923114122e-05,0.0002691557782516889,0.0005634267721795858
6,dr_log,0.004864006986017069,0.0004473097810153054,2.0008604019196045e-07,6.325915588939841e-05,0.0002601902194078248,0.0005174794589811781
7,dm_rf,0.0,0.0,0.0,0.0,0.005124197205424894,0.005124197205424894
8,dr_rf,0.005254133701868711,0.0003859124865195886,1.4892844725173166e-07,5.4576267232512635e-05,0.00012993649644381725,0.0004072001232315946
