,stat,mean,SD,var,SE,bias,RMSE
0,iw,0.005111052236499314,0.0004004156716586015,1.6033271010980897e-07,5.6627327344632634e-05,1.314496892558005e-05,0.0004006313771010246
1,dm,0.00510026418686274,0.0004090650419810546,1.6733420857096196e-07,5.7850533026232686e-05,2.3933018562153838e-05,0.00040976456404679307
2,dm_iw,0.005100264186862756,0.0004090650419810526,1.6733420857096031e-07,5.785053302623241e-05,2.3933018562137358e-05,0.00040976456404679014
3,dm_log,0.00510624254324402,0.000409551763713545,1.677326471608754e-07,5.791936587375166e-05,1.7954662180874083e-05,0.0004099451390794928
4,dm_log_iw,0.0051062425432470615,0.00040955176371639023,1.6773264716320594e-07,5.791936587415403e-05,1.7954662177832245e-05,0.00040994513908220213
5,dr,0.005100264186862741,0.00040906504198105444,1.6733420857096182e-07,5.7850533026232666e-05,2.393301856215297e-05,0.00040976456404679285
6,dr_log,0.005106247239295071,0.00040954659592324337,1.6772841423231639e-07,5.7918635037838446e-05,1.7949966129822588e-05,0.0004099397705960941
7,dm_rf,0.0,0.0,0.0,0.0,0.005124197205424894,0.005124197205424894
8,dr_rf,0.005111052236499314,0.0004004156716586015,1.6033271010980897e-07,5.6627327344632634e-05,1.314496892558005e-05,0.0004006313771010246
