,stat,mean,SD,var,SE,bias,RMSE
0,iw,0.005113711636122764,0.0010927758336392813,1.1941590225860262e-06,0.00015454184045662366,1.0485569302129925e-05,0.001092826138848086
1,dm,0.005091919469536608,0.0012154975520695269,1.4774342990870121e-06,0.0001718973123168022,3.22777358882859e-05,0.00121592604681415
2,dm_iw,0.005091919469536469,0.0012154975520695258,1.4774342990870096e-06,0.00017189731231680207,3.2277735888424676e-05,0.0012159260468141524
3,dm_log,0.005092272054227913,0.001105704148682531,1.2225816644137607e-06,0.00015637018030390326,3.192515119698064e-05,0.0011061649423538564
4,dm_log_iw,0.005092272054227913,0.0011057041486825315,1.2225816644137615e-06,0.0001563701803039033,3.192515119698064e-05,0.0011061649423538568
5,dr,0.005091919469536608,0.0012154975520695269,1.4774342990870121e-06,0.0001718973123168022,3.22777358882859e-05,0.00121592604681415
6,dr_log,0.005092258041449841,0.001105707117177284,1.2225882289765e-06,0.0001563706001124572,3.193916397505308e-05,0.0011061683141239968
7,dm_rf,0.0,0.0,0.0,0.0,0.005124197205424894,0.005124197205424894
8,dr_rf,0.005113711636122764,0.0010927758336392813,1.1941590225860262e-06,0.00015454184045662366,1.0485569302129925e-05,0.001092826138848086
