,stat,mean,SD,var,SE,bias,RMSE
0,iw,0.0034846324000232837,0.00017238136300835522,2.9715334312618337e-08,2.4378406146677568e-05,1.52979548730392e-05,0.00017305883894189251
1,dm,0.0034803207157898803,0.0001815467044291312,3.2959205889078326e-08,2.5674581160781698e-05,1.0986270639635858e-05,0.00018187881688543515
2,dm_iw,0.0034803207157898803,0.0001815467044291312,3.2959205889078326e-08,2.5674581160781698e-05,1.0986270639635858e-05,0.00018187881688543515
3,dm_log,0.00347801764050948,0.0001749795916144007,3.0617857481542447e-08,2.4745851159959095e-05,8.683195359235514e-06,0.00017519490678438425
4,dm_log_iw,0.00347801764050948,0.0001749795916144007,3.0617857481542447e-08,2.4745851159959095e-05,8.683195359235514e-06,0.00017519490678438425
5,dr,0.0034803207157898803,0.00018154670442913128,3.295920588907835e-08,2.5674581160781708e-05,1.0986270639635858e-05,0.0001818788168854352
6,dr_log,0.003478014416210339,0.0001749804527888788,3.0618158858201044e-08,2.4745972948421744e-05,8.679971060094466e-06,0.00017519560712473677
