,stat,mean,SD,var,SE,bias,RMSE
0,iw,0.004638153414615091,0.00024924510567090843,6.21231227009023e-08,3.524858087949139e-05,0.0001768734479837275,0.00030562614302862673
1,dm,0.004815992012907039,0.000139892565587059,1.9569929906529607e-08,1.9783796352838656e-05,9.651503082202043e-07,0.00013989589494208568
2,dm_iw,0.004759058081006529,0.00025320085124601,6.411067107170409e-08,3.580800778365199e-05,5.596878159229001e-05,0.00025931289128122714
3,dm_log,0.0048171911470056925,0.0001388733924217813,1.928581912273406e-08,1.963966350156441e-05,2.1642844068737316e-06,0.00013889025613673516
4,dm_log_iw,0.004755291510390618,0.0002436817133678645,5.938077742989807e-08,3.446179839471471e-05,5.973535220820097e-05,0.00025089657178474153
5,dr,0.004544138794856304,0.00041939379362664856,1.7589115413255187e-07,5.9311239092190926e-05,0.0002708880677425151,0.0004992709678900081
6,dr_log,0.004539750093836615,0.00037023378833219166,1.370730580228061e-07,5.235896447081552e-05,0.0002752767687622037,0.00046135708235917
7,dm_rf,0.0,0.0,0.0,0.0,0.004815026862598819,0.004815026862598819
8,dr_rf,0.004638153414615091,0.00024924510567090843,6.21231227009023e-08,3.524858087949139e-05,0.0001768734479837275,0.00030562614302862673
