,stat,mean,SD,var,SE,bias,RMSE
0,iw,0.004547553140425763,0.0007920556805868863,6.273522011499556e-07,0.00011201358856406267,0.0002674737221730556,0.000835999038996496
1,dm,0.0047444548644479225,0.00038000774950451837,1.4440588968348878e-07,5.3741211315616765e-05,7.057199815089631e-05,0.00038650523490180427
2,dm_iw,0.004805295895958555,0.0007516338172444043,5.649533952253946e-07,0.00010629707382852969,9.730966640263822e-06,0.0007516968051928574
3,dm_log,0.004738687652773775,0.00038048145134524314,1.4476613481778262e-07,5.380820287238417e-05,7.633920982504355e-05,0.0003880641825452263
4,dm_log_iw,0.0046176935672504115,0.0006826112574115878,4.6595812874502896e-07,9.653580980600193e-05,0.00019733329534840725,0.0007105621423901577
5,dr,0.004665197394700867,0.0009131060820495283,8.3376271707584e-07,0.0001291327005119803,0.00014982946789795192,0.0009253170194730145
6,dr_log,0.004614366504181937,0.0008163098712897869,6.663618059651485e-07,0.00011544364910770522,0.00020066035841688219,0.0008406107216810526
7,dm_rf,0.0,0.0,0.0,0.0,0.004815026862598819,0.004815026862598819
8,dr_rf,0.004547553140425763,0.0007920556805868863,6.273522011499556e-07,0.00011201358856406267,0.0002674737221730556,0.000835999038996496
