,stat,mean,SD,var,SE,bias,RMSE
0,iw,0.0047333718912666274,0.0007654914178296688,5.859771107708767e-07,0.00010825683449749273,8.165497133219134e-05,0.0007698341672815889
1,dm,0.004779396829165778,0.000787746332283607,6.205442840262749e-07,0.00011140415468251396,3.5630033433041094e-05,0.0007885516998324932
2,dm_iw,0.004779396829165778,0.000787746332283607,6.205442840262749e-07,0.00011140415468251396,3.5630033433041094e-05,0.0007885516998324932
3,dm_log,0.004734216463473929,0.0007737374022927803,5.986695677067798e-07,0.00010942299280377773,8.081039912488999e-05,0.0007779459417681306
4,dm_log_iw,0.004734216463473929,0.0007737374022927803,5.986695677067798e-07,0.00010942299280377773,8.081039912488999e-05,0.0007779459417681306
5,dr,0.004779396829165778,0.000787746332283607,6.205442840262749e-07,0.00011140415468251396,3.5630033433041094e-05,0.0007885516998324934
6,dr_log,0.004734203512439497,0.0007737355052800072,5.986666321309081e-07,0.00010942272452565855,8.082335015932151e-05,0.0007779454004375142
7,dm_rf,0.0,0.0,0.0,0.0,0.004815026862598819,0.004815026862598819
8,dr_rf,0.0047333718912666274,0.0007654914178296688,5.859771107708767e-07,0.00010825683449749273,8.165497133219134e-05,0.0007698341672815889
