,stat,mean,SD,var,SE,bias,RMSE
0,iw,0.004784288324967036,0.00025126071384238923,6.3131946320587e-08,3.553363092074521e-05,3.0738537631782616e-05,0.0002531339645648674
1,dm,0.004786891867015065,0.00025360947729656926,6.431776697463907e-08,3.5865796233915975e-05,2.813499558375343e-05,0.000255165328661903
2,dm_iw,0.004786891867015065,0.00025360947729656926,6.431776697463907e-08,3.5865796233915975e-05,2.813499558375343e-05,0.000255165328661903
3,dm_log,0.004783881835218513,0.00025176258648960953,6.338439995593812e-08,3.5604606431173514e-05,3.114502738030614e-05,0.00025368171531755715
4,dm_log_iw,0.004783881835218513,0.00025176258648960953,6.338439995593812e-08,3.5604606431173514e-05,3.114502738030614e-05,0.00025368171531755715
5,dr,0.0047868918670150645,0.00025360947729656915,6.431776697463902e-08,3.586579623391596e-05,2.8134995583754298e-05,0.00025516532866190283
6,dr_log,0.004783884399616698,0.00025176831689577035,6.338728539252904e-08,3.560541683298457e-05,3.114246298212102e-05,0.00025368708755693853
7,dm_rf,0.0,0.0,0.0,0.0,0.004815026862598819,0.004815026862598819
8,dr_rf,0.004784288324967036,0.00025126071384238923,6.3131946320587e-08,3.553363092074521e-05,3.0738537631782616e-05,0.0002531339645648674
