,stat,mean,SD,var,SE,bias,RMSE
0,iw,0.004589238753399026,0.0003658081245949976,1.3381558401970928e-07,5.173308110285125e-05,0.00022578810919979264,0.0004298788832633286
1,dm,0.00480472611129694,0.00020745322342320802,4.3036839908679464e-08,2.933831621231166e-05,1.0300751301878762e-05,0.00020770879949116898
2,dm_iw,0.004741412497666244,0.0003518339507777085,1.23787128919851e-07,4.975683448931433e-05,7.36143649325751e-05,0.0003594526445086715
3,dm_log,0.004799760881195426,0.0002041831336139457,4.169075205241041e-08,2.887585567646798e-05,1.5265981403392997e-05,0.0002047530274272376
4,dm_log_iw,0.004717570062323152,0.00033726144944462095,1.1374528528148662e-07,4.769597158701909e-05,9.745680027566702e-05,0.00035105998518979316
5,dr,0.004502221984458387,0.0007710874988581101,5.94575930895256e-07,0.00010904823986614877,0.00031280487814043176,0.0008321194762074176
6,dr_log,0.004492911959632923,0.0005068964602458812,2.569440214098042e-07,7.168598487986396e-05,0.0003221149029658957,0.0006005847418329346
7,dm_rf,0.0,0.0,0.0,0.0,0.004815026862598819,0.004815026862598819
8,dr_rf,0.004589238753399026,0.0003658081245949976,1.3381558401970928e-07,5.173308110285125e-05,0.00022578810919979264,0.0004298788832633286
