,stat,mean,SD,var,SE,bias,RMSE
0,iw,0.0047625436628189405,0.00033575433064504537,1.1273097054690246e-07,4.748283280237236e-05,5.2483199779878274e-05,0.0003398315123793511
1,dm,0.0047709117114420364,0.0003418652194377259,1.168718282612045e-07,4.834704298324862e-05,4.4115151156782356e-05,0.00034469983293118986
2,dm_iw,0.0047709117114420364,0.0003418652194377259,1.168718282612045e-07,4.834704298324862e-05,4.4115151156782356e-05,0.00034469983293118986
3,dm_log,0.00476212362308796,0.0003378149969812044,1.1411897218541113e-07,4.777425503038454e-05,5.290323951085904e-05,0.0003419323397050277
4,dm_log_iw,0.00476212362308796,0.0003378149969812044,1.1411897218541113e-07,4.777425503038454e-05,5.290323951085904e-05,0.0003419323397050277
5,dr,0.0047709117114420364,0.0003418652194377259,1.168718282612045e-07,4.834704298324862e-05,4.4115151156782356e-05,0.00034469983293118986
6,dr_log,0.004762122937435919,0.0003378167949866316,1.1412018697503988e-07,4.7774509306750576e-05,5.290392516289939e-05,0.0003419342221432092
7,dm_rf,0.0,0.0,0.0,0.0,0.004815026862598819,0.004815026862598819
8,dr_rf,0.0047625436628189405,0.00033575433064504537,1.1273097054690246e-07,4.748283280237236e-05,5.2483199779878274e-05,0.0003398315123793511
