,stat,mean,SD,var,SE,bias,RMSE
0,iw,0.005125035421906017,0.0005772754183665609,3.3324690865028795e-07,8.163907258785929e-05,8.382164811233592e-07,0.0005772760269205341
1,dm,0.0051845857953183114,0.0003158831326832292,9.978215351377057e-08,4.467262103655226e-05,6.038858989341773e-05,0.00032160369292513747
2,dm_iw,0.005274767414994655,0.0005878821837826893,3.4560546200910374e-07,8.313909573829916e-05,0.0001505702095697609,0.000606858179494176
3,dm_log,0.005185909091053618,0.0003076929607657026,9.46749581047642e-08,4.351435581615892e-05,6.171188562872389e-05,0.0003138205138811308
4,dm_log_iw,0.005207182694430659,0.000553636464804145,3.0651333516083127e-07,7.829601971503165e-05,8.29854890057654e-05,0.0005598213344865993
5,dr,0.00476847621470193,0.000882601651230553,7.789856747548987e-07,0.00012481872253431364,0.0003557209907229641,0.0009515897740075954
6,dr_log,0.004750530324793864,0.000821612431604376,6.750469877668555e-07,0.00011619354437892455,0.00037366688063102983,0.0009025928902043157
7,dm_rf,0.0,0.0,0.0,0.0,0.005124197205424894,0.005124197205424894
8,dr_rf,0.005125035421906017,0.0005772754183665609,3.3324690865028795e-07,8.163907258785929e-05,8.382164811233592e-07,0.0005772760269205341
