,stat,mean,SD,var,SE,bias,RMSE
0,iw,0.005167130304234555,0.0005130071148156661,2.6317629985149403e-07,7.255016193662065e-05,4.293309880966118e-05,0.0005148004961389355
1,dm,0.0051676177729654185,0.0005253514430277015,2.759941386912883e-07,7.429591357420518e-05,4.3420567540524736e-05,0.000527142755216108
2,dm_iw,0.005167617772965414,0.0005253514430276959,2.759941386912824e-07,7.429591357420438e-05,4.34205675405204e-05,0.0005271427552161022
3,dm_log,0.005164944562268017,0.0005218128139003765,2.72288612750629e-07,7.379547584379803e-05,4.074735684312346e-05,0.0005234013372550071
4,dm_log_iw,0.005164944562267655,0.0005218128139005537,2.722886127508139e-07,7.379547584382309e-05,4.07473568427609e-05,0.0005234013372551557
5,dr,0.0051676177729654185,0.0005253514430277016,2.759941386912884e-07,7.42959135742052e-05,4.3420567540524736e-05,0.0005271427552161082
6,dr_log,0.005164935347837308,0.0005218090317927252,2.7228466566046127e-07,7.379494097300454e-05,4.073814241241456e-05,0.0005233968493482507
7,dm_rf,0.0,0.0,0.0,0.0,0.005124197205424894,0.005124197205424894
8,dr_rf,0.005167130304234555,0.0005130071148156661,2.6317629985149403e-07,7.255016193662065e-05,4.293309880966118e-05,0.0005148004961389355
