,stat,mean,SD,var,SE,bias,RMSE,true
0,iw,0.9483676549311483,0.03716696590218204,0.0013813833543739624,0.0016621572454939167,0.007082926580855964,0.0378358454818147,0.9554505815120042
1,dm,0.6848304904125391,0.014598456451620747,0.0002131149307698674,0.0006528628198478872,0.27062009109946517,0.2710135580325322,0.9554505815120042
2,dm_iw,0.9193508729419929,0.02140571717491215,0.0004582047277723289,0.0009572927742047664,0.036099708570011324,0.041968960990380444,0.9554505815120042
3,dm_log,0.8787710904659192,0.010958211478380503,0.0001200823988049102,0.0004900661155495453,0.07667949104608507,0.07745854856561381,0.9554505815120042
4,dm_log_iw,0.9561151209896653,0.007823565401805345,6.120817559632563e-05,0.00034988048129704416,0.0006645394776610969,0.007851737916773313,0.9554505815120042
5,dr,0.9100037731406962,0.017432937691429815,0.0003039073165532743,0.0007796246745111064,0.04544680837130799,0.04867565826664974,0.9554505815120042
6,dr_log,0.8853099820845388,0.011179134933854851,0.0001249730578693339,0.0004999461128348412,0.07014059942746542,0.07102588785727004,0.9554505815120042
7,dm_rf,0.642659054674139,0.02688891658068456,0.000723013834883013,0.0012025089063146376,0.31279152683786526,0.31394514345096347,0.9554505815120042
8,dr_rf,0.7355471201603445,0.025560836203939098,0.0006533563474446037,0.0011431153462749099,0.21990346135165972,0.221384029825743,0.9554505815120042
