,stat,mean,SD,var,SE,bias,RMSE,true
0,iw,0.3252318146627577,0.032273714522285384,0.0010415926490659744,0.0014433243911650454,0.006197137907763106,0.03286331035233378,0.3314289525705208
1,dm,0.29734356524513567,0.030158080465939617,0.0009095098173900887,0.0013487103598549901,0.03408538732538513,0.045511794586805904,0.3314289525705208
2,dm_iw,0.33358196432231174,0.02960405196969209,0.0008763998930242301,0.0013239334522733611,0.0021530117517909453,0.029682239683480428,0.3314289525705208
3,dm_log,0.2374891027886261,0.025522854634773873,0.0006514161087077982,0.001141416758863999,0.09393984978189471,0.09734532082104791,0.3314289525705208
4,dm_log_iw,0.32967726669534125,0.029409119422245535,0.0008648963051918995,0.001315215803731007,0.0017516858751795428,0.02946124078509259,0.3314289525705208
5,dr,0.3314703511909831,0.029709446660708932,0.0008826512208855091,0.001328646846144986,4.139862046231846e-05,0.02970947550414321,0.3314289525705208
6,dr_log,0.32828618878521404,0.03042048365171763,0.0009254058256044196,0.0013604453870732331,0.003142763785306757,0.03058239346118376,0.3314289525705208
7,dm_rf,0.12129375223604977,0.04948094245142199,0.002448363665880935,0.002212855018242693,0.21013520033447103,0.2158822968320682,0.3314289525705208
8,dr_rf,0.26744212479565727,0.03194484473875531,0.0010204731053831827,0.0014286168873306675,0.06398682777486353,0.07151774069469213,0.3314289525705208
