,stat,mean,SD,var,SE,bias,RMSE,true
0,iw,0.5293215716094882,0.07284466164520606,0.005306344730204555,0.003257712304733048,0.023493980025968253,0.07653960953431332,0.5528155516354565
1,dm,0.4959961632884127,0.05567324419875848,0.0030995101196145945,0.0024897831711273954,0.05681938834704381,0.07954843186227352,0.5528155516354565
2,dm_iw,0.5547410672577582,0.053379667333220686,0.0028493888846053074,0.002387211295468127,0.001925515622301699,0.05341438472000811,0.5528155516354565
3,dm_log,0.3231759776888918,0.05379931651368188,0.002894366457339324,0.0024059785773523933,0.2296395739465647,0.23585737296022585,0.5528155516354565
4,dm_log_iw,0.546421990477819,0.05286087416606965,0.00279427201760105,0.002364010159707885,0.006393561157637451,0.05324612325679212,0.5528155516354565
5,dr,0.5442686263448222,0.053537864032234164,0.0028663028851339924,0.0023942860669243313,0.008546925290634277,0.054215798592824174,0.5528155516354565
6,dr_log,0.5334207622484348,0.06041391467680861,0.0036498410865767107,0.0027017924000843256,0.01939478938702166,0.06345075997924404,0.5528155516354565
7,dm_rf,0.32305033613026285,0.13768191756126755,0.018956310423347673,0.0061573225387903255,0.22976521550519363,0.2678588521581763,0.5528155516354565
8,dr_rf,0.5009249710577935,0.07045674241404365,0.004964152551598897,0.0031509213102198846,0.05189058057766294,0.08750305654253357,0.5528155516354565
