,stat,mean,SD,var,SE,bias,RMSE,true
0,iw,0.4070674953554599,0.08889836015681678,0.007902918438571108,0.003975655527978023,0.0544074394525732,0.10422613830683991,0.4614749348080331
1,dm,0.40213013116618757,0.0909154771629656,0.008265623987769718,0.004065863742864416,0.05934480364184552,0.10856993003156504,0.4614749348080331
2,dm_iw,0.437826416561772,0.1097959312827631,0.012055146526249238,0.004910223320023079,0.023648518246261074,0.11231384127298372,0.4614749348080331
3,dm_log,0.358472579341283,0.06848426240251948,0.004690094196817143,0.0030627093224193324,0.10300235546675007,0.12369146869738382,0.4614749348080331
4,dm_log_iw,0.4231022376889388,0.08082742218705678,0.006533072177404719,0.0036147122091266734,0.0383726971190943,0.08947366127301637,0.4614749348080331
5,dr,0.4284903624495078,0.09517215556833161,0.009057739195522715,0.004256228188319492,0.03298457235852531,0.10072597087741327,0.4614749348080331
6,dr_log,0.4144397187977538,0.0802925064423293,0.006446886590791492,0.003590790049777762,0.04703521601027927,0.09305481253500607,0.4614749348080331
7,dm_rf,0.18570938595665587,0.13056834899488332,0.017048093759249646,0.005839194081249509,0.2757655488513772,0.3051142928355716,0.4614749348080331
8,dr_rf,0.3876119626877573,0.0925246866102397,0.008560817632323069,0.004137829777147211,0.07386297212027576,0.11839153805388163,0.4614749348080331
