,stat,mean,SD,var,SE,bias,RMSE,true
0,iw,0.9303729665446268,0.027241113053766624,0.0007420782404080943,0.001218259611419581,0.0008963221937774435,0.02725585503856286,0.9294766443508493
1,dm,0.5538706136169317,0.01126805259513293,0.00012696900928668196,0.0005039226315352029,0.37560603073391763,0.37577501158668775,0.9294766443508493
2,dm_iw,0.9312630607922943,0.00842320079928035,7.095031170499714e-05,0.0003766969915064285,0.001786416441444949,0.008610551399722437,0.9294766443508493
3,dm_log,0.8555439013671968,0.009394039212950466,8.824797273445101e-05,0.00042011420526911727,0.07393274298365249,0.07452716590493216,0.9294766443508493
4,dm_log_iw,0.9129735059720897,0.008884594480265639,7.893601907876666e-05,0.0003973311442078676,0.016503138378759608,0.018742721131875605,0.9294766443508493
5,dr,0.9215303542786899,0.015000185995794283,0.00022500557990842292,0.0006708287112347278,0.007946290072159412,0.01697495525235116,0.9294766443508493
6,dr_log,0.9086973783217343,0.010506231809498834,0.00011038090683492514,0.00046985297026820024,0.020779266029115062,0.023284303801996226,0.9294766443508493
7,dm_rf,0.7968585305662261,0.014253536484668192,0.00020316330231976728,0.0006374375299898293,0.13261811378462318,0.13338188559962336,0.9294766443508493
8,dr_rf,0.8348938102720033,0.013622918660578959,0.00018558391283275043,0.0006092354435400987,0.09458283407884605,0.09555886361410584,0.9294766443508493
